City,Customer Name,Customer Segment,Grouping Based on Unit Price,Order Date,Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,State,Zip Code,Discount,Order Quantity,Product Base Margin,Profit,Sales,Shipping Cost,Unit Price
Highland Park,Muhammed MacIntyre,Small Business,A,10/13/2010,3,Low,Office Supplies,Large Box,"Eldon Base for stackable storage shelf, platinum",Storage & Organization,Central,1,10/20/2010,Regular Air,Illinois,60035,0.04,6,0.8,-213.25,261.54,35,38.94
Edmonds,Ruben Dartt,Corporate,A,2/20/2012,6,Not Specified,Office Supplies,Small Pack,Kleencut® Forged Office Shears by Acme United Corporation,"Scissors, Rulers and Trimmers",West,2,2/21/2012,Regular Air,Washington,98026,0.01,2,0.55,-4.64,6.93,2.56,2.08
Elk Plain,Liz Pelletier,Corporate,A,7/15/2011,32,High,Furniture,Medium Box,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Office Furnishings,West,3,7/17/2011,Regular Air,Washington,98387,0.07,26,0.65,1054.82,2808.08,5.81,107.53
Elk Plain,Liz Pelletier,Corporate,A,7/15/2011,32,High,Furniture,Jumbo Box,KI Conference Tables,Tables,West,4,7/16/2011,Delivery Truck,Washington,98387,0.09,24,0.72,-1748.56,1761.4,89.3,70.89
Elk Plain,Liz Pelletier,Corporate,A,7/15/2011,32,High,Technology,Medium Box,Bell Sonecor JB700 Caller ID,Telephones and Communication,West,5,7/17/2011,Regular Air,Washington,98387,0.04,23,0.6,-85.129,160.2335,5.03,7.99
High Point,Liz Pelletier,Corporate,A,7/15/2011,32,High,Technology,Small Pack,"Imation 3.5 IBM Diskettes, 10/Box",Computer Peripherals,South,6,7/16/2011,Regular Air,North Carolina,27260,0.04,15,0.79,-128.38,140.56,8.99,8.46
Ames,Julie Creighton,Corporate,A,10/22/2011,35,Not Specified,Office Supplies,Wrap Bag,Dixon Ticonderoga Core-Lock Colored Pencils,Pens & Art Supplies,Central,7,10/23/2011,Regular Air,Iowa,50010,0.03,30,0.52,60.72,288.56,2.25,9.11
Ames,Julie Creighton,Corporate,A,10/22/2011,35,Not Specified,Technology,Small Box,CF 688,Telephones and Communication,Central,8,10/24/2011,Regular Air,Iowa,50010,0.01,14,0.58,48.987,1892.848,8.99,155.99
Albany,Sample Company A,Home Office,A,11/2/2011,36,Critical,Technology,Small Box,6162i,Telephones and Communication,West,9,11/2/2011,Regular Air,Oregon,97321,0.1,46,0.55,657.477,2484.7455,4.2,65.99
Pflugerville,Tamara Dahlen,Corporate,A,3/17/2011,65,Critical,Technology,Small Pack,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Computer Peripherals,Central,10,3/18/2011,Regular Air,Texas,78660,0.02,32,0.49,1470.3,3812.73,1.99,115.79
Santa Fe,Arthur Gainer,Consumer,A,1/19/2009,66,Low,Office Supplies,Wrap Bag,Newell 340,Pens & Art Supplies,West,11,1/19/2009,Regular Air,New Mexico,87505,0.09,41,0.56,7.57,108.15,0.7,2.88
Garner,Jonathan Doherty,Corporate,A,6/3/2009,69,Not Specified,Furniture,Small Pack,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Office Furnishings,South,12,6/5/2009,Regular Air,North Carolina,27529,0.09,42,0.44,511.69,1186.06,3.92,30.93
Garner,Jonathan Doherty,Corporate,A,6/3/2009,69,Not Specified,Office Supplies,Wrap Bag,Newell 308,Pens & Art Supplies,South,13,6/5/2009,Express Air,North Carolina,27529,0.03,28,0.6,0.35,51.53,0.7,1.68
East Meadow,Helen Wasserman,Home Office,A,12/17/2010,70,Low,Office Supplies,Wrap Bag,"Super Bands, 12/Pack",Rubber Bands,East,14,12/22/2010,Regular Air,New York,11554,0.03,48,0.82,-107,90.05,2.58,1.86
East Meadow,Helen Wasserman,Home Office,A,12/17/2010,70,Low,Technology,Small Box,3285,Telephones and Communication,East,15,12/22/2010,Regular Air,New York,11554,0.05,46,0.59,2057.166,7804.53,5.99,205.99
Little Rock,Keith Dawkins,Home Office,A,4/16/2009,96,High,Technology,Small Box,SC7868i,Telephones and Communication,South,16,4/18/2009,Regular Air,Arkansas,72209,0.01,37,0.55,1228.887,4158.1235,8.99,125.99
Prescott Valley,Craig Yedwab,Consumer,A,1/28/2010,97,Medium,Office Supplies,Small Box,Avery 498,Labels,West,17,1/29/2010,Regular Air,Arizona,86314,0.03,26,0.38,28.24,75.57,0.5,2.89
Moore,Pauline Chand,Corporate,A,11/18/2012,129,Low,Office Supplies,Small Box,Xerox 217,Paper,Central,18,11/27/2012,Regular Air,Oklahoma,73160,0.09,4,0.37,-22.59,32.72,8.19,6.48
Cleveland,Roy Collins,Corporate,A,5/7/2012,130,High,Technology,Medium Box,Canon MP41DH Printing Calculator,Office Machines,South,19,5/9/2012,Express Air,Tennessee,37311,0.05,3,0.38,-309.8244,461.89,13.99,150.98
Cleveland,Roy Collins,Corporate,A,5/7/2012,130,High,Office Supplies,Small Box,Computer Printout Paper with Letter-Trim Perforations,Paper,South,20,5/8/2012,Regular Air,Tennessee,37311,0.02,29,0.37,71.75,575.11,9.03,18.97
Cleveland,Roy Collins,Corporate,A,5/7/2012,130,High,Office Supplies,Small Box,Filing/Storage Totes and Swivel Casters,Storage & Organization,South,21,5/10/2012,Regular Air,Tennessee,37311,0.05,23,0.6,-134.31,236.46,9.45,9.71
Avenel,Emily Phan,Consumer,A,6/10/2010,132,Medium,Technology,Medium Box,Bell Sonecor JB700 Caller ID,Telephones and Communication,East,22,6/11/2010,Regular Air,New Jersey,07001,0.03,27,0.6,-86.196,192.814,5.03,7.99
Lewiston,Emily Phan,Consumer,A,6/10/2010,132,Medium,Furniture,Jumbo Box,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,East,23,6/13/2010,Delivery Truck,Maine,04240,0.05,30,0.69,-603.8,4011.65,54.74,130.98
Brookfield,Michael Dominguez,Home Office,A,4/30/2012,134,Not Specified,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,Central,24,5/2/2012,Regular Air,Wisconsin,53005,0.01,11,,-310.21,1132.6,35,95.99
Troy,Anne Pryor,Consumer,A,10/20/2011,135,Not Specified,Technology,Small Pack,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,East,25,10/22/2011,Regular Air,New York,12180,0.09,25,0.64,-89.25,125.85,4.62,4.98
Tamarac,Valerie Takahito,Consumer,A,9/11/2011,166,High,Technology,Small Box,i270,Telephones and Communication,South,26,9/13/2011,Express Air,Florida,33319,0.02,10,0.55,-126.093,567.936,8.99,65.99
Bethpage,Justin Hirsh,Consumer,A,8/7/2010,193,Critical,Office Supplies,Medium Box,Eldon Simplefile® Box Office®,Storage & Organization,East,27,8/9/2010,Regular Air,New York,11714,0.06,14,0.57,-37.04,174.89,6.27,12.44
West Linn,Maria Zettner,Corporate,A,4/4/2012,194,Medium,Furniture,Wrap Bag,"Master Caster Door Stop, Large Neon Orange",Office Furnishings,West,28,4/6/2012,Regular Air,Oregon,97068,0.1,49,0.42,-197.25,329.03,7.98,7.28
West Linn,Maria Zettner,Corporate,A,4/4/2012,194,Medium,Office Supplies,Wrap Bag,Serrated Blade or Curved Handle Hand Letter Openers,"Scissors, Rulers and Trimmers",West,29,4/6/2012,Regular Air,Oregon,97068,0.04,6,0.84,-13.44,20.19,1.92,3.14
Long Beach,Brad Thomas,Home Office,A,12/27/2010,195,Medium,Office Supplies,Wrap Bag,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Pens & Art Supplies,West,30,12/29/2010,Regular Air,California,90805,0.03,34,0.41,260.87,1315.74,13.89,36.55
Miramar,Penelope Sewall,Home Office,A,4/6/2011,197,High,Office Supplies,Small Pack,"Acme® 8"" Straight Scissors","Scissors, Rulers and Trimmers",South,31,4/8/2011,Regular Air,Florida,33023,0.01,23,0.6,33.22,310.52,3.14,12.98
Lemon Grove,Bart Folk,Corporate,A,6/17/2009,224,Not Specified,Furniture,Small Box,"Eldon® Expressions™ Wood Desk Accessories, Oak",Office Furnishings,West,32,6/18/2009,Regular Air,California,91945,0.09,25,0.56,-33.95,184.86,5.21,7.38
Lemon Grove,Bart Folk,Corporate,A,6/17/2009,224,Not Specified,Office Supplies,Small Box,Xerox 193,Paper,West,33,6/18/2009,Regular Air,California,91945,0.04,44,0.36,-65.43,267.85,5.15,5.98
Lemon Grove,Bart Folk,Corporate,A,6/17/2009,224,Not Specified,Office Supplies,Small Box,"Decoflex Hanging Personal Folder File, Blue",Storage & Organization,West,34,6/18/2009,Regular Air,California,91945,0.04,33,0.58,-149.92,528.5,10.68,15.42
Holbrook,Karen Ferguson,Home Office,A,5/24/2011,225,Critical,Office Supplies,Wrap Bag,Newell 314,Pens & Art Supplies,East,35,5/25/2011,Regular Air,New York,11741,0.06,24,0.6,18.27,126.58,0.7,5.58
Holbrook,Karen Ferguson,Home Office,A,5/24/2011,225,Critical,Office Supplies,Wrap Bag,Prismacolor Color Pencil Set,Pens & Art Supplies,East,36,5/26/2011,Regular Air,New York,11741,0.05,1,0.44,-8.97,23.7,4.1,19.84
Blaine,Matt Abelman,Consumer,A,12/28/2010,229,Critical,Furniture,Small Pack,Nu-Dell Executive Frame,Office Furnishings,Central,37,12/30/2010,Regular Air,Minnesota,55434,0.11,43,0.48,98.44,586.11,4.98,12.64
Atlanta,Peter Fuller,Consumer,A,12/28/2010,229,Critical,Office Supplies,Small Box,GBC Standard Therm-A-Bind Covers,Binders and Binder Accessories,South,38,12/29/2010,Regular Air,Georgia,30318,0.02,24,0.39,3.8165,599.1,12.98,24.92
Burleson,Erin Creighton,Corporate,A,10/26/2010,230,Critical,Office Supplies,Small Pack,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Pens & Art Supplies,Central,39,10/28/2010,Regular Air,Texas,76028,0.06,47,0.58,320.37,2029.75,8.99,43.98
Burleson,Erin Creighton,Corporate,A,10/26/2010,230,Critical,Technology,Small Box,StarTAC ST7762,Telephones and Communication,Central,40,10/28/2010,Regular Air,Texas,76028,0.06,11,0.57,-212.333,1118.396,8.08,125.99
Hollywood,Sean Braxton,Small Business,A,9/28/2009,231,High,Office Supplies,Small Box,Hoover WindTunnel™ Plus Canister Vacuum,Appliances,South,41,9/30/2009,Regular Air,Florida,33021,0.06,2,0.57,-490.84,689.74,19.99,363.25
Auburn,Liz Willingham,Home Office,A,12/28/2010,258,Critical,Office Supplies,Small Box,Xerox 1984,Paper,East,42,12/30/2010,Regular Air,Maine,04210,0,21,0.36,-91.14,154.35,8.74,6.48
Brunswick,Liz Willingham,Home Office,A,12/28/2010,258,Critical,Office Supplies,Jumbo Drum,"Tennsco Lockers, Gray",Storage & Organization,East,43,12/29/2010,Delivery Truck,Maine,04011,0,7,0.78,-284.4,201.36,53.03,20.98
Hudson,Liz Willingham,Home Office,A,12/28/2010,258,Critical,Office Supplies,Small Box,Wilson Jones® Four-Pocket Poly Binders,Binders and Binder Accessories,East,44,12/30/2010,Regular Air,New Hampshire,03051,0.02,33,0.36,-55.108,216.77,5.27,6.54
Garden City,Sonia Sunley,Small Business,A,6/28/2010,261,Medium,Technology,Small Box,7160,Telephones and Communication,Central,45,6/29/2010,Regular Air,Kansas,67846,0.04,47,0.59,1680.786,5677.609,4.2,140.99
Davis,Paul Lucas,Corporate,A,5/16/2009,263,High,Office Supplies,Small Box,3M Organizer Strips,Binders and Binder Accessories,West,46,5/17/2009,Regular Air,California,95616,0.09,25,0.37,-136.252,136.77,7.78,5.4
Deer Park,Dorris Love,Home Office,A,1/5/2009,290,Not Specified,Office Supplies,Wrap Bag,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,East,47,1/6/2009,Regular Air,New York,11729,0.05,24,0.36,-32.48,188.73,5.83,7.64
Taylors,Valerie Takahito,Consumer,A,1/12/2012,292,High,Office Supplies,Small Box,#6 3/4 Gummed Flap White Envelopes,Envelopes,South,48,1/13/2012,Regular Air,South Carolina,29687,0.08,43,0.37,175.54,412.62,1.39,9.9
Tinley Park,Barry French,Consumer,A,10/1/2012,293,High,Office Supplies,Jumbo Drum,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,Central,49,10/2/2012,Delivery Truck,Illinois,60477,0.07,49,0.58,457.81,10123.02,68.02,208.16
Tinley Park,Barry French,Consumer,A,10/1/2012,293,High,Office Supplies,Small Box,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,Central,50,10/3/2012,Regular Air,Illinois,60477,0.01,27,0.39,46.7075,244.57,2.99,8.69
Urbandale,Sanjit Chand,Home Office,A,7/15/2010,294,Medium,Office Supplies,Small Box,Fellowes Staxonsteel® Drawer Files,Storage & Organization,Central,51,7/16/2010,Regular Air,Iowa,50322,0.06,35,0.71,489.02,6375.28,19.99,193.17
Allen Park,Giulietta Weimer,Corporate,A,3/18/2012,322,Critical,Technology,Small Box,I888 World Phone,Telephones and Communication,Central,52,3/20/2012,Regular Air,Michigan,48101,0.08,20,0.6,257.76,2634.8555,8.08,155.99
Ann Arbor,Giulietta Weimer,Corporate,A,3/18/2012,322,Critical,Office Supplies,Small Box,Xerox 1997,Paper,Central,53,3/20/2012,Regular Air,Michigan,48104,0.1,46,0.37,-291.59,281,10.05,6.48
Scottsdale,Dario Medina,Small Business,A,3/25/2009,323,Critical,Office Supplies,Small Box,Staples Standard Envelopes,Envelopes,West,54,3/27/2009,Regular Air,Arizona,85254,0.07,20,0.38,25.76,108.09,1.39,5.68
Scottsdale,Dario Medina,Small Business,A,3/25/2009,323,Critical,Office Supplies,Small Box,Xerox 1964,Paper,West,55,3/27/2009,Regular Air,Arizona,85254,0.06,2,0.39,-31.24,55.34,11.54,22.84
